+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 |  1 |       NEW |       NEW |
|                 0 |  1 |       NEW |     READY |
|                 0 |  2 |       NEW |       NEW |
|                 0 |  2 |       NEW |     READY |
|                 0 |  3 |       NEW |       NEW |
|                 0 |  3 |       NEW |     READY |
|                 0 |  1 |     READY |   RUNNING |
|                10 |  1 |   RUNNING |   WAITING |
|                10 |  2 |     READY |   RUNNING |
|                15 |  2 |   RUNNING |   WAITING |
|                15 |  1 |   WAITING |     READY |
|                15 |  3 |     READY |   RUNNING |
|                18 |  2 |   WAITING |     READY |
|                25 |  3 |   RUNNING |TERMINATED |
|                25 |  1 |     READY |   RUNNING |
|                45 |  1 |   RUNNING |TERMINATED |
|                45 |  2 |     READY |   RUNNING |
|                60 |  2 |   RUNNING |TERMINATED |
+------------------------------------------------+
